word,frequency
abaissaient,0.41
abaissement,2.16
abaisserais,0.0
abaisserait,0.2
abaisserent,0.41
abandonnais,1.49
abandonnait,9.46
abandonnant,9.93
abandonnees,5.67
abandonnent,2.64
abandonnera,0.81
abandonniez,0.14
abandonnons,0.68
abatardirai,0.07
abattements,0.27
abattraient,0.07
abdications,0.14
abdiquaient,0.07
abdiquerais,0.07
abdiquerait,0.07
abdominales,0.0
aberrations,1.15
abjectement,0.07
abjurations,0.07
abolissions,0.07
abominables,2.23
abominaient,0.07
abomination,3.04
abondamment,4.93
abondassent,0.07
abonnements,0.07
aborderions,0.14
abouchaient,0.07
aboutissait,2.5
aboutissant,1.29
aboutissent,1.49
aboutissiez,0.07
abracadabra,0.27
abracadabre,0.0
abregeaient,0.07
abreuvaient,0.27
abreviation,0.41
abricotiers,0.27
abruptement,2.03
abrutissais,0.07
abrutissait,0.27
abrutissant,0.41000000000000003
abrutissent,0.0
abrutisseur,0.07
absentaient,0.14
absenteisme,0.2
absenteiste,0.0
absenterait,0.07
absenterent,0.07
absolutisme,0.68
absolvaient,0.07
absorbables,0.07
absorbaient,0.68
absorbantes,0.2
absorberait,0.14
absorberent,0.41
absorptions,0.14
abstenaient,0.07
abstiendrai,0.0
abstiendras,0.07
abstiennent,0.2
abstinences,0.2
abstraction,2.09
absurdement,3.72
absurdistes,0.07
abusivement,1.15
academicien,0.74
academiques,0.54
acagnardait,0.14
accablaient,1.42
accablantes,0.81
accablement,3.58
accablerent,0.2
accaparante,0.07
accelerando,0.14
accelerants,0.0
accelereras,0.0
acceptables,0.88
acceptaient,2.91
acceptasses,0.07
acceptation,4.19
accepterais,1.96
accepterait,4.05
accepterent,0.74
accepteriez,0.54
accepterons,0.14
accepteront,0.2
accessibles,1.62
accessoires,8.04
accidentees,0.2
accidentels,0.41
acclamaient,0.68
acclamation,0.27
acclamerait,0.07
acclameront,0.0
acclimatent,0.0
accointance,0.2
accommodais,0.27
accommodait,2.23
accommodant,0.75
accommodent,0.34
accommodera,0.07
accommodons,0.07
accompagnai,1.28
accompagnat,0.54
accompagnee,10.129999999999999
accompagner,22.23
accompagnes,5.609999999999999
accompagnez,0.95
accomplirai,0.14
accompliras,0.0
accomplirez,0.14
accomplisse,0.95
accordaient,2.43
accordement,0.07
accorderais,0.14
accorderait,0.74
accorderent,0.54
accorderiez,0.07
accorderons,0.0
