word,frequency
abandonnerions,0.0
abasourdissant,0.0
abolitionniste,0.0
abominablement,0.68
abracadabrante,0.0
abracadabrants,0.14
abstiendraient,0.07
academiquement,0.14
accessoirement,0.88
accessoiristes,0.14
accommodements,0.41
accommoderions,0.07
accompagnaient,4.73
accompagnateur,0.27
accompagnement,2.5
accompagnerais,0.27
accompagnerait,1.22
accompagnerent,0.95
accompagneriez,0.0
accompagnerons,0.0
accompagneront,0.14
accompliraient,0.2
accomplissions,0.34
accordeonistes,0.27
accreditations,0.0
accrocheraient,0.07
achondroplasie,0.0
acquiescements,0.47
additionnaient,0.07
additionnelles,0.14
additionnerait,0.07
adenocarcinome,0.0
administraient,0.34
administrateur,3.78
administratifs,1.7600000000000002
administration,23.85
administrative,4.33
administrerons,0.0
admirativement,0.2
admonestations,0.14
adoucissements,0.07
aerodynamiques,0.2
affaisseraient,0.14
affermissaient,0.2
affermissement,0.14
affouillements,0.07
affranchissais,0.07
affranchissait,0.27
affranchissant,0.27
affronteraient,0.14
agenouillaient,0.61
agenouillement,0.27
agenouillerent,0.41
agenouilleront,0.0
agglomerations,0.54
agrandissaient,0.74
agrandissement,1.28
agranulocytose,0.0
aiguillonnante,0.07
alanguissaient,0.14
alanguissement,0.34
algebriquement,0.07
alourdissaient,0.68
alourdissement,0.14
alphanumerique,0.0
amaigrissantes,0.0
amaigrissement,0.54
americanophile,0.2
amoncellements,1.76
amphigouriques,0.14
amplificateurs,0.0
amplifications,0.0
amygdalectomie,0.0
analphabetisme,0.2
analytiquement,0.07
anaphylactique,0.0
anarchiquement,0.14
anathematisait,0.07
anatomiquement,0.2
ancestralement,0.14
aneantissaient,0.27
aneantissantes,0.07
aneantissement,3.24
anesthesiaient,0.14
anesthesiantes,0.14
anfractuosites,0.74
annonciatrices,0.27
antediluvienne,0.2
antepenultieme,0.14
anterieurement,1.01
anthropologues,0.14
anthropometrie,0.27
anthropomorphe,0.07
anthropophages,0.27
anthropophagie,0.61
antialcoolique,0.0
antiamericaine,0.14
antibrouillard,0.07
anticastristes,0.0
anticatholique,0.07
antichretienne,0.07
anticlericales,0.07
anticoagulants,0.0
anticommunisme,0.88
anticommuniste,1.49
antidepresseur,0.0
antiderapantes,0.14
antidreyfusard,0.0
antifrancaises,0.14
antigaullistes,0.07
antigermanisme,0.07
antihygienique,0.07
antimigraineux,0.0
antimitotiques,0.0
antinationales,0.07
antinucleaires,0.0
antiparasitage,0.07
antireligieuse,0.0
antisovietique,0.27
antisovietisme,0.07
antistaliniens,0.14
antiterrorisme,0.0
antiterroriste,0.27
antivariolique,0.0
aphrodisiaques,0.28
aplatissements,0.14
apocalyptiques,0.74
apostrophaient,0.2
apostropherent,0.07
apothicairerie,0.07
apparaissaient,8.51
apparaitraient,0.2
appareillaient,0.07
appartiendrais,0.14
appartiendrait,1.42
appartiendrons,0.0
appartiendront,0.07
appauvrissante,0.07
appauvrissions,0.07
appesantissais,0.07
appesantissait,0.61
appesantissant,0.07
applaudiraient,0.14
applaudissions,0.07
appliquassions,0.07
apprecieraient,0.07
apprehendaient,0.14
apprehenderons,0.0
apprentissages,0.34
apprivoisaient,0.07
apprivoiserent,0.14
approfondirent,0.14
approfondirons,0.07
appropriations,0.0
approvisionnee,0.14
approvisionner,1.01
approvisionnes,0.27
approximations,0.81
approximatives,0.2
arbitrairement,0.95
archeologiques,0.41
archiepiscopal,0.07
architecturale,1.01
architecturant,0.07
architecturaux,0.07
architecturees,0.07
architecturent,0.07
argumentations,0.2
aristocratique,2.36
aristocratisme,0.07
aristotelicien,0.07
arraisonnerons,0.07
arrondissaient,0.74
arrondissement,7.3
arteriographie,0.0
artisanalement,0.07
artistiquement,0.61
ascensionnelle,0.2
assainissement,0.34
assaisonnement,0.34
assaisonnerait,0.14
assaisonnerent,0.07
asservissaient,0.07
asservissement,1.08
assortissaient,0.14
assoupissaient,0.34
assoupissement,1.01
assourdiraient,0.07
assourdissante,0.81
assourdissants,0.41
