word,frequency
abandonneraient,0.14
abasourdissants,0.07
abolitionnistes,0.14
abracadabrantes,0.34
abstentionniste,0.0
accommodatrices,0.07
accommoderaient,0.14
accompagnateurs,0.68
accompagnatrice,0.07
accompagnements,0.07
accomplissaient,0.68
accomplissement,4.26
accroupissaient,0.27
accroupissement,0.2
accueilleraient,0.0
achondroplasies,0.0
acrobatiquement,0.07
administrateurs,0.95
administrations,2.57
administratives,2.23
administratrice,0.0
affaiblissaient,0.14
affaiblissement,1.49
affectionnaient,0.2
affectueusement,3.38
affirmativement,0.74
agrandissements,0.41
agroalimentaire,0.0
aiguillonnaient,0.14
alanguissements,0.14
allegoriquement,0.07
alphabetisation,0.07
alternativement,5.88
americanisation,0.07
americanophiles,0.07
amoindrissement,0.07
amoncelleraient,0.07
amygdalectomies,0.0
anaphoriquement,0.14
aneantissements,0.14
anecdotiquement,0.14
antediluviennes,0.27
antepenultiemes,0.07
anthropologique,0.07
anthropologiste,0.0
antiamericaines,0.0
antibolchevisme,0.14
anticapitaliste,0.14
anticatalyseurs,0.07
anticommunistes,0.88
anticonformisme,0.07
anticonformiste,0.0
anticycloniques,0.07
antidepresseurs,0.34
antidreyfusarde,0.0
antidreyfusards,0.07
antidreyfusisme,0.07
antigravitation,0.0
antimaconniques,0.07
antimilitarisme,0.34
antimilitariste,0.6100000000000001
antipersonnelle,0.0
antipsychiatrie,0.14
antipsychotique,0.0
antiquailleries,0.07
antirepublicain,0.07
antisovietiques,0.07
antispasmodique,0.07
antituberculeux,0.14
antityphoidique,0.07
appauvrissaient,0.14
appauvrissement,0.74
appendicectomie,0.0
applaudissaient,1.15
applaudissement,0.34
approbativement,0.07
approfondirions,0.07
approfondissais,0.14
approfondissait,0.27
approfondissant,0.27
approfondissent,0.14
approfondissons,0.0
approprieraient,0.07
approvisionnait,0.14
approvisionnant,0.0
approvisionnees,0.27
approvisionnent,0.07
approvisionnera,0.0
approvisionniez,0.0
approvisionnons,0.0
architectonique,0.14
architecturales,0.74
aristocratiques,0.54
arrondissements,1.08
arteriosclerose,0.27
ascensionnelles,0.0
assaisonnements,0.07
asservissements,0.07
assombrissaient,0.27
assombrissement,0.14
assouplissaient,0.07
assouplissement,0.54
assourdissaient,0.27
assourdissantes,0.41
assourdissement,0.14
assujettiraient,0.07
astrophysiciens,0.0
asymetriquement,0.2
asymptomatiques,0.2
attendrissaient,0.2
attendrissantes,0.54
attendrissement,6.89
audioconference,0.0
authentifierait,0.07
authentiquement,0.54
autobiographies,0.68
autodenigrement,0.07
autodestructeur,0.0
autodestruction,0.47
autofinancement,0.0
automatiquement,3.85
autoritairement,0.0
autosubsistance,0.0
avantageusement,1.42
avaricieusement,0.14
bacteriologique,0.14
bacteriologiste,0.0
barotraumatisme,0.0
bataillonnaires,0.07
baudelairiennes,0.07
belliqueusement,0.07
bibliographique,0.0
bibliothecaires,0.2
bienveillamment,0.0
bihebdomadaires,0.07
biochimiquement,0.0
bioluminescence,0.0
bioluminescente,0.0
biosynthetiques,0.0
blasphematoires,0.27
bougainvilliers,0.14
bouillonnements,0.61
bouleversements,3.04
bourgeonnements,0.14
boustifailleuse,0.07
brandebourgeois,0.14
bredouillements,0.14
bringuebalaient,0.07
bringuebalantes,0.07
broussailleuses,0.2
bureaucratiques,0.07
bureaucratisees,0.07
calligraphiques,0.07
caoutchouteuses,0.2
capitalistiques,0.07
capricieusement,0.74
caracterisation,0.0
caracteriserais,0.0
caracteriserait,0.07
caracteristique,4.46
carambouilleurs,0.2
cardiomyopathie,0.0
cartilagineuses,0.0
cartographiques,0.14
cartomanciennes,0.14
catastrophiques,0.47
categoriquement,1.69
cauchemardesque,0.14
cauchemardeuses,0.07
centralisatrice,0.07
chaleureusement,1.89
champignonniere,0.27
chatouillements,0.07
chevaucheraient,0.07
chloramphenicol,0.0
choregraphiques,0.07
chromatographie,0.0
churrigueresque,0.07
cinematographes,0.07
cinematographie,0.07
cinquantenaires,0.0
circonlocutions,0.88
circonscription,0.34
circonspections,0.07
circonstanciees,0.07
circonstanciels,0.07
circonvallation,0.07
circonvolutions,0.88
clandestinement,2.84
classifications,0.14
classificatrice,0.07
clitoridectomie,0.0
clochardisation,0.2
collaboratrices,0.27
collaboreraient,0.07
collationnement,0.0
collectionneurs,1.76
collectionneuse,0.2
collectionnions,0.07
commercialement,0.27
commercialisera,0.0
commissionnaire,0.95
commotionnerait,0.07
communicabilite,0.07
communiquassent,0.07
comparaissaient,0.27
comparativement,0.07
compartimentage,0.07
compartimentant,0.07
complementaires,1.96
complementarite,0.14
complimentaient,0.14
comportementale,0.0
comportementaux,0.0
comprehensibles,0.54
compromettaient,0.14
compromettantes,0.47
concessionnaire,0.75
concurrentielle,0.0
concussionnaire,0.07
conditionnelles,0.0
conditionnement,0.74
conditionnerons,0.0
confectionnames,0.07
confectionnerai,0.07
confectionneurs,0.2
confectionneuse,0.07
confectionnions,0.14
confessionnelle,0.14
confidentialite,0.0
confidentielles,0.68
confisqueraient,0.0
confortablement,3.24
confraternelles,0.14
congenitalement,0.2
congratulations,0.41
consciencieuses,0.41
consecutivement,0.14
considereraient,0.14
consolideraient,0.07
constitueraient,0.47
constitutionnel,0.88
constructivisme,0.0
consubstantiels,0.14
contempleraient,0.07
contingentement,0.0
continuellement,4.8
contorsionniste,0.14
contradictoires,6.62
contraindraient,0.07
contrapunctique,0.07
contrasteraient,0.0
contrebalancais,0.07
contrebalancait,0.14
contrebassistes,0.0
contrecarraient,0.07
contremaitresse,0.27
contrevallation,0.0
contreviendrait,0.0
contribueraient,0.34
conventionnelle,1.28
convertissaient,0.07
convulsionnaire,0.21000000000000002
coproprietaires,0.2
correctionnelle,2.1
correlativement,0.34
correspondaient,1.69
correspondances,1.62
correspondantes,0.47000000000000003
courtelinesques,0.07
criminalistique,0.0
cristallisaient,0.07
cristallisation,0.27
cristalliserent,0.14
cristallomancie,0.0
cryptographique,0.0
culpabilisation,0.2
cytomegalovirus,0.0
dactylographiee,0.48000000000000004
dactylographier,0.2
dactylographies,0.14
dardillonnaient,0.07
debarbouillette,0.0
debrouillardise,0.34
debrouillerions,0.07
debroussaillage,0.14
decalcification,0.0
declencheraient,0.07
decomposeraient,0.14
deconcentration,0.07
decongestionner,0.0
deconseillerais,0.07
deconseillerent,0.14
deconsideraient,0.07
deconsideration,0.0
decontamination,0.0
decontractaient,0.07
deculpabilisait,0.07
dedaigneusement,1.15
defavorablement,0.2
defectionnaires,0.07
defectueusement,0.07
defibrillateurs,0.0
deflationnistes,0.0
defouraillaient,0.07
defouraillerait,0.07
degenerescences,0.07
degueulassement,0.14
degueulasseries,0.14
dekoulakisation,0.07
dematerialisent,0.0
demissionnaient,0.07
demissionnaires,0.14
demissionnerais,0.14
demissionnerait,0.07
demissionneront,0.0
democratisation,0.14
democratiseront,0.07
demoralisateurs,0.14
demultipliaient,0.07
demystificateur,0.0
demystification,0.0
departementales,0.6100000000000001
depenaillements,0.07
depersonnalisee,0.07
depersonnaliser,0.14
depoussieraient,0.07
depressionnaire,0.07
deprogrammation,0.0
dermatologiques,0.07
desacralisation,0.0
desagreablement,1.28
desappointement,0.74
desapprobateurs,0.41
desapprobatrice,0.2
desapprouvaient,0.07
desapprouverait,0.07
desarticulation,0.14
desastreusement,0.0
desempierraient,0.07
desemplissaient,0.07
desenchainement,0.07
desenchantement,1.69
desensibilisent,0.0
deshumanisation,0.14
desinformations,0.0
desintegrations,0.07
desintoxication,0.74
desolidariserai,0.14
desorganisateur,0.07
desorganisation,0.47
despiritualiser,0.07
dessaisissement,0.07
destabilisaient,0.0
destabilisantes,0.0
destabilisation,0.07
destabiliserait,0.0
destalinisation,0.07
destructuration,0.0
desubjectiviser,0.07
determineraient,0.07
developperaient,0.0
diaphragmatique,0.0
differenciables,0.07
differenciaient,0.07
differenciation,0.07
differencieront,0.07
differentielles,0.0
dimensionnelles,0.0
dimensionnement,0.0
directionnelles,0.07
discographiques,0.07
discontinuaient,0.07
discretionnaire,0.14
discriminations,0.0
discriminatoire,0.07
discutaillaient,0.14
discutailleries,0.14
disparaissaient,6.01
disparaitraient,0.54
disproportionne,0.75
dissimulatrices,0.07
dissimuleraient,0.0
distingueraient,0.2
diversification,0.14
divertissements,2.09
documentalistes,0.07
documentaristes,0.0
dolichocephales,0.2
dolichocephalie,0.07
donquichottisme,0.0
douloureusement,5.54
ecclesiastiques,1.62
echantillonnage,0.74
eclaboussements,0.41
eclaircissaient,0.47
eclaircissement,1.15
ecrabouillement,0.2
ecrabouillerent,0.07
effarouchements,0.14
electrification,0.27
electrobiologie,0.0
electrochimique,0.0
electrostatique,0.07
elephantiasique,0.0
embellissements,0.07
emberlificotais,0.07
emberlificotees,0.07
embrouillaminis,0.07
embrouillements,0.07
embroussaillees,0.07
emerveillements,0.88
empoisonnements,0.0
emprisonnements,0.2
empuantissaient,0.07
encephalogramme,0.2
encephalopathie,0.0
enchevetrements,0.41
encorbellements,0.34
encyclopediques,0.14
encyclopedistes,0.14
endolorissement,0.2
endormissements,0.07
engloutissaient,0.81
engloutissement,0.54
engouffreraient,0.07
engourdissaient,0.27
engourdissantes,0.07
engourdissement,5.41
engraisseraient,0.0
enguirlandaient,0.14
enigmatiquement,0.47
enorgueillirent,0.07
enregimenterait,0.07
enregistrements,0.74
enrichissements,0.54
ensanglantaient,0.07
ensanglantement,0.07
ensanglanterent,0.07
ensevelissaient,0.14
ensevelissement,0.74
ensommeillaient,0.07
enthousiasmante,0.07
entourloupettes,0.27
entrebaillaient,0.27
entrebaillement,3.51
entrebaillerait,0.07
entrebaillerent,0.07
entrechoquaient,1.01
entrechoquement,0.07
entrechoquerent,0.27
entrechoqueront,0.0
entrecroisaient,1.49
entrecroisement,0.61
entrecroiserent,0.2
envelopperaient,0.07
environnemental,0.0
epanouissements,0.07
eparpilleraient,0.07
epidemiologique,0.0
epidemiologiste,0.07
epistemologique,0.07
epoustouflantes,0.34
epouvanteraient,0.07
escarmouchaient,0.07
essentiellement,6.55
etourdissements,0.41
evanouissements,0.41
excellentissime,0.07
exceptionnelles,3.04
excommunication,1.15
