word,frequency
abat,5.13
abbe,31.28
aber,0.0
able,0.14
aboi,0.88
abri,51.08
abus,8.58
accu,0.07
ache,0.14
acme,0.0
acne,0.81
acra,0.14
acre,10.41
acta,0.07
acte,35.88
adja,0.34
adon,0.0
ados,0.27
aede,0.2
aere,1.97
aero,0.2
afin,0.95
afro,0.27
agas,0.07
agee,8.92
ages,17.9
agie,0.0
agir,29.66
agis,0.81
agit,74.8
agro,0.2
ahan,0.34
ahou,0.0
aida,7.09
aide,86.28999999999999
aies,8.04
aigu,14.46
aile,22.36
aima,1.69
aime,335.61
aine,25.68
ains,0.0
aire,4.46
airs,29.8
aise,55.27
ajax,0.07
alba,0.2
albe,0.0
alde,0.0
alea,0.2
alfa,0.88
alim,0.0
alla,67.57
alle,57.3
allo,16.48
alma,0.14
aloi,1.89
alpa,0.07
alpe,0.2
alto,0.95
alun,0.74
aman,0.14
amas,9.32
amen,3.45
amer,12.639999999999999
ames,22.09
amie,58.04
amis,153.72
amok,0.07
anal,0.54
anar,0.75
anas,0.07
anda,0.14
anes,4.26
ange,21.62
anis,2.5
ankh,0.07
anon,0.41
anse,4.86
ante,0.34
anti,0.81
anus,1.82
anya,0.0
aout,49.66
apax,0.07
apes,0.07
apex,0.07
apis,0.0
apre,7.7
apte,2.77
arac,0.0
arak,0.07
aras,0.14
arbi,0.14
arcs,3.24
arde,0.14
ardu,2.43
area,0.07
arec,0.07
ares,0.07
aria,0.34
arma,1.22
arme,50.330000000000005
arts,10.0
arum,0.0
aspi,0.0
asse,0.14
aste,0.0
asti,0.2
atre,5.61
aube,55.81
auge,1.76
aula,0.0
aulx,0.27
aune,0.68
aura,122.16
auto,30.34
aval,3.99
avec,4000.41
aveu,13.45
avez,341.01
avis,65.14
axee,0.47
axel,0.0
axer,0.0
axes,1.35
axis,0.0
ayez,15.879999999999999
azur,11.010000000000002
baba,1.89
babi,0.0
baby,2.77
back,0.74
bacs,2.09
bada,2.16
baht,0.0
baie,15.469999999999999
bail,2.57
bain,43.11
bais,0.14
bale,0.0
bals,7.23
banc,48.31
bang,0.54
bans,0.41
baou,0.2
bars,8.78
basa,0.0
base,32.71
bate,0.54
bath,4.73
bati,7.91
bats,2.97
baud,0.0
baux,0.34
bava,0.2
bave,6.96
baye,0.21000000000000002
bcbg,0.14
beat,2.6999999999999997
beau,297.17
bebe,36.22
becs,3.65
bede,0.0
beee,0.07
beer,0.27
bees,0.2
bele,0.41000000000000003
beni,4.26
berg,0.0
berk,0.95
best,0.34
beta,1.28
bete,96.49000000000001
beuh,0.88
beur,0.68
bibi,0.54
bide,8.38
bief,0.54
bien,2628.58
bigo,0.54
bile,5.74
bill,0.07
bine,0.07
bing,1.76
binz,0.14
bipe,0.0
bips,0.0
bire,0.07
bise,10.61
bite,5.0
bits,0.0
bled,7.23
bles,5.41
blet,0.47
bleu,149.26
blob,0.0
bloc,28.31
blot,1.49
boas,0.34
bobo,1.55
bobs,0.61
bock,0.88
bodo,0.07
body,0.07
boer,0.14
bois,308.98999999999995
boit,21.08
bola,0.27
bold,0.0
bols,5.07
bome,0.47
bond,20.07
boni,0.54
bons,64.73
book,0.41
boom,0.41
bora,0.14
bord,197.36
bore,0.0
boss,2.5
bote,0.0
bouc,8.92
boue,52.3
bouf,0.14
boum,4.73
bour,0.14
bous,0.2
bout,381.36
boxa,0.2
boxe,8.25
boys,2.09
bozo,0.0
brai,0.0
bran,0.07
bras,487.97
bref,74.59
brie,0.74
brin,13.99
brio,1.89
bris,1.35
broc,3.51
brol,0.0
brou,0.74
brrr,1.82
brun,28.78
brus,0.41
brut,4.05
buee,13.11
bues,0.34
bufo,0.0
bugs,0.0
buis,7.23
bull,0.41
buna,0.0
bure,3.18
burg,0.2
buse,2.09
bush,0.0
buta,2.09
bute,12.83
buts,8.51
cabs,0.0
caca,3.52
cade,0.0
cadi,2.3
cafe,170.4
cage,34.86
caid,6.82
cake,1.69
cala,2.16
cale,12.23
calf,0.07
calo,0.0
cals,0.34
cama,0.14
came,5.2
camp,75.61
cana,0.07
cane,1.8900000000000001
cape,10.34
capo,0.14
caps,0.88
care,0.14
cari,0.07
cars,3.99
cary,0.0
casa,3.1799999999999997
case,10.81
cash,0.6799999999999999
cata,0.34
cate,0.07
cati,0.0
cato,0.0
cava,0.0
cave,45.88
ceci,53.78
ceda,4.32
cede,18.310000000000002
cela,741.82
cele,0.0
cene,0.2
cens,0.34
cent,157.1
cepe,0.27
ceps,0.61
cerf,20.27
ceux,309.86
chah,0.0
chai,0.27
chao,0.07
char,7.91
chas,0.47
chat,59.26
chef,172.57
cher,110.74
chez,680.54
chia,0.0
chic,17.98
chie,3.1799999999999997
chip,0.0
choc,38.65
chou,13.99
chue,0.2
chum,0.0
chus,0.07
chut,7.57
ciao,3.72
ciel,301.76
cils,17.09
cime,4.46
cine,4.46
cinq,220.61
cira,0.14
cire,22.57
cita,0.88
cite,30.48
city,0.27
clac,3.72
clam,0.07
clan,13.51
clap,0.54
clef,35.61
cles,13.58
clic,1.69
clin,16.55
clip,0.61
cloc,0.07
clos,27.98
clot,1.55
clou,10.2
club,18.58
coca,2.64
coco,6.08
cocu,4.33
coda,0.14
code,14.4
coin,167.09
coir,0.0
cois,0.61
coit,2.84
coke,5.47
cola,0.34
cold,0.07
colo,2.77
cols,5.61
colt,1.82
coma,4.86
cone,2.57
cons,23.51
cool,3.18
cops,0.07
coqs,3.45
cora,0.27
core,0.14
cors,1.55
cosy,1.08
cota,0.0
cote,594.52
coud,0.68
coup,641.55
cour,150.14
cous,2.64
cout,1.22
crac,6.01
cran,6.96
crea,1.82
cree,18.85
cret,0.0
cria,55.74
crib,0.0
cric,1.08
crie,63.85
crin,3.92
cris,83.85
croc,1.15
crue,12.57
crus,18.31
crut,36.29
cube,5.8100000000000005
cucu,0.27
cuir,76.08
cuis,0.34
cuit,9.32
cule,0.07
culs,3.85
cura,0.14
cure,56.42999999999999
cuti,0.41
cuve,2.29
cyan,0.0
czar,0.41
daba,0.0
dabe,1.42
dabs,0.07
dace,0.07
dada,1.96
dahu,0.14
daim,5.14
dais,3.04
dale,0.0
dame,110.07000000000001
dams,0.07
dano,0.07
dans,8296.08
dard,1.55
data,0.0
date,42.22
daya,0.0
deal,0.47
deca,3.04
deci,0.0
deck,0.0
deco,0.47
decu,15.469999999999999
defi,15.2
deja,705.54
dela,12.7
demi,80.27000000000001
deni,0.27
dent,11.15
ders,0.34
desk,0.14
deux,1557.91
diam,0.61
dico,0.68
diem,0.0
dieu,368.51
dime,1.22
dina,1.08
dine,9.190000000000001
ding,1.55
dira,21.89
dire,856.76
dise,25.41
dite,12.299999999999999
dito,0.34
dits,5.81
diva,1.22
dive,0.2
dock,0.81
dodo,2.43
dodu,1.89
doge,1.89
dois,102.03
doit,224.86
dojo,0.34
dole,0.0
dome,3.78
dona,1.15
donc,445.88
dong,0.95
dons,9.59
dont,960.3399999999999
dope,2.37
dora,0.07
dore,22.5
dors,13.92
dort,25.95
dose,9.790000000000001
dota,0.14
dote,3.3100000000000005
dots,0.27
doue,11.620000000000001
doux,67.91
down,0.54
drag,0.14
drap,33.18
drop,0.0
drue,3.58
drus,2.43
dual,0.0
duce,2.91
ducs,1.62
duel,4.93
dues,1.62
duit,0.07
dune,3.45
duos,0.41
dupe,8.85
dura,12.7
dure,71.96
durs,23.439999999999998
dyke,0.0
eaux,42.03
ebat,0.07
echo,32.5
echu,0.54
ecot,0.95
ecru,0.34
ecus,3.11
edam,0.34
eden,2.3
edit,0.61
egal,26.89
elan,37.57
elfe,0.54
elia,1.35
elie,7.64
elis,0.07
elit,0.14
elle,6991.49
elue,2.3000000000000003
elus,5.67
elut,0.14
embu,0.07
emet,2.57
emeu,0.0
emir,0.68
emis,2.3
emit,4.19
emmi,0.0
emoi,5.88
emue,8.51
emus,2.9699999999999998
emut,3.31
ente,0.0
epee,19.12
epia,0.2
epie,2.9699999999999998
epis,3.99
eres,0.2
ergo,0.34
ergs,0.07
eros,0.54
erra,2.16
erre,5.95
esse,0.68
este,0.14
etai,0.54
etal,3.38
etat,192.03
etau,4.39
etes,251.35
etre,1268.44
etui,7.09
eues,2.71
euro,0.0
ewes,0.14
exam,0.0
exil,13.58
exit,0.6100000000000001
exos,0.07
expo,0.47
face,262.16
facs,0.27
fada,0.81
fade,11.49
fado,0.0
fafs,0.88
faim,74.93
fais,224.26
fait,1811.83
faix,0.68
fame,0.68
fana,0.27
fane,3.73
fang,0.07
fans,1.42
faon,0.54
fard,4.73
fare,0.07
faro,0.07
fart,0.0
fate,0.07
fats,0.21000000000000002
faut,653.92
faux,77.75999999999999
faxe,0.0
feal,0.14
fees,4.73
fela,0.14
fele,2.64
fend,3.58
fera,59.73
fere,0.2
fers,7.7
feru,0.81
feta,0.34
fete,74.05
fetu,0.81
feue,0.34
feuj,0.0
feux,36.76
feve,0.61
fias,0.81
fiat,0.07
fiee,0.0
fief,2.7
fiel,2.5
fier,36.28
fies,0.0
fieu,0.07
fiez,0.41
fifi,7.36
fige,17.84
fila,4.93
file,53.85
film,49.53
fils,271.41999999999996
fine,37.57
fini,161.62
fins,22.44
fion,2.57
fisc,1.28
fixa,10.47
fixe,67.98
flac,1.08
flag,0.41
flan,2.64
